Antigen	Genes
Acaa2	['Cldn34d', 'Brox', 'Aida']
Acss2	['Txndc11', 'Cldn34d', 'Kpna1', 'Tmem125']
Actb	['Greb1', 'Nkx2-6', 'E030030I06Rik', 'Brox', 'Aida', 'Fbxw4']
Adnp	['Brox', 'Aida', 'Selenov', 'Dll3', 'Txndc11', 'Mis18bp1', 'E030030I06Rik', 'Cldn34d', 'Fbxw4', 'Greb1', 'Exd1', 'Chp1', 'C3ar1', 'Oscar', 'Ndufa3', 'Bspry', 'Wdr31', 'Rfwd3', 'Nkx2-6', 'Igfbp4', 'Lrch1', 'Fcgr1', 'Kcnn3', 'Apc', 'Rnf220', 'Hacl1', 'Btd', 'Ssr2', 'Zpr1', 'Apoa5', 'Taf5']
Aebp2	['Palb2', 'Dctn5', 'Vamp4', 'Rpl22', 'Rnf207', 'Exoc2', 'Snrpb2', 'Pomt1', 'Vps13d', 'Tmbim4', 'Irak3', 'Cyp2w1', 'Cox19', 'Psmd3', 'Txndc11', 'Cldn34d', 'Mettl25', 'Ccdc59', 'Gne', 'Sugp2', 'Armc6', 'Ptcd1', 'Cpsf4', 'Snx18', 'Psma1', 'Pdcd5', 'Txnl4a', 'Rbfa', 'Gins3', 'Ubr4', 'Rbm48', 'Pex1', 'Tex2', 'Tmem167b', 'Taf13', 'Ambra1', 'Pgp', 'Mlst8', 'Caskin1', 'Bricd5', 'Taok3', 'Suds3', 'Brd3os', 'Ino80', 'Ercc2', 'Rbsn', 'Mboat4', 'Dctn6', 'Taf3', 'Rab35', 'Pet117', 'Kat14', 'Heatr5a', 'Hgsnat', 'Xpo5', 'Polh', 'Tmem125', 'Kdm8', 'Sprtn', 'Exoc8', 'Nup50', 'Smarcd1', 'Gpd1', 'Cstf1', 'Aurka', 'Hdgf', 'Rab3gap2', 'Eif2b3', 'Raf1', 'Vps28', 'Slc39a4', 'Smarca5', 'Lrp12', 'Upf1', 'Rtn4rl1', 'Dph1', 'U2surp', 'Tcea1', 'Mrps15', 'Ogfod3', 'Hexdc', 'Cct8', 'Crtc1', 'Mmadhc', 'Kras', 'Vps72', 'Pip5k1a', 'Hmgxb4', 'Znhit3', 'Frmpd1', 'Hp1bp3', 'Sdf4', 'B3galt6', 'Rfx1', 'Psma2', 'Mrpl32', 'Fan1', 'Clcn4', 'Srrm1', 'Rev3l']
Aff3	['Greb1', 'Usp31', 'Cldn34d', 'Txndc15', 'Lemd2', 'Spink10', 'Fbxo38', 'Nkx2-6', 'Txndc11', 'Cdk5rap2', 'Gm18905', 'Slmap', 'Hacd2', 'Ccdc124', 'Kpna1', 'Cradd', 'Slx4ip', 'Mkks', 'Prkcsh', 'Ccdc151', 'Calr', 'Tpgs1', 'Madcam1', 'Aida', 'Brox', 'Rcc1l', 'Gtf2ird2', 'Psmb5', 'Psmb11', 'Tor1a', 'Il31ra', 'Nefm', 'Knstrn', 'Nr1i3', 'Apoa2', 'Tomm40l', 'Uqcrh', 'Lrrc41', 'Creld2', 'Alg12', 'Fbxo42', 'Habp4', 'Morf4l1', 'Ska1', 'Cxxc1', 'A430005L14Rik', 'Hexb', 'N4bp1', 'Exosc2', 'Prpsap1', 'E030030I06Rik', 'Sec23ip', 'Mcmbp', 'Kat7', 'Gm29733', 'Zfp37', 'Tstd1', 'Usf1', 'Pknox1', 'Khdc4', 'Lgals6', 'Lgals4', 'Ech1', 'Trim80', 'Ndrg3']
Aff4	['Greb1', 'Nkx2-6', 'Olfr806', 'Hexb', 'Abhd6', 'Txndc11', 'Il31ra', 'Cldn34d', 'Pcdh20', 'Olfm1', 'Kpna1', 'Aldh9a1', 'Cox8c']
Ahcy	['Il31ra', 'Txndc11', 'Greb1', 'Nkx2-6', 'Kpna1', 'Brox', 'Aida', 'Hexb', 'Aldh9a1', 'E030030I06Rik', 'Pknox1', 'Sspn', 'Fbxw4', 'Vmn1r2', 'Dnah7b', 'Rsph3b']
Ahr	['Cldn34d', 'Brox', 'Aida', 'Txndc11', 'E030030I06Rik', 'Greb1', 'Lekr1']
Aicda	['Txndc11']
