Target_genes	Acaa2|Average	SRX4634932|Unclassified	SRX4634933|Unclassified	STRING
Cldn34d	862.500000	855	870	0
Brox	728.000000	757	699	0
Aida	728.000000	757	699	0
Tmem125	527.500000	420	635	0
Greb1	506.500000	466	547	0
Txndc11	499.000000	404	594	0
Kpna1	461.500000	382	541	0
E030030I06Rik	452.000000	472	432	0
Nkx2-6	446.000000	433	459	0
Il31ra	291.000000	188	394	0
Fbxw4	269.000000	304	234	0
Abhd6	257.000000	241	273	0
Sspn	230.000000	195	265	0
Cltc	227.500000	287	168	0
Cd209a	219.500000	218	221	0
Hjurp	214.000000	159	269	0
A730008H23Rik	214.000000	159	269	0
Wwox	209.500000	222	197	0
Rap2a	205.000000	289	121	0
Psmb2	191.500000	158	225	0
Ube2b	187.500000	238	137	0
Cdkl3	187.500000	238	137	0
Zc3h6	184.500000	168	201	0
Muc3	184.000000	183	185	0
Ap1g1	182.000000	258	106	0
Rnf44	179.000000	228	130	0
Cdhr2	179.000000	228	130	0
Cmc2	177.000000	211	143	0
Cenpn	177.000000	211	143	0
Zfp868	169.500000	126	213	0
Gm3448	162.000000	174	150	0
Gm3417	162.000000	174	150	0
Tcte3	159.500000	172	147	0
Ermard	159.500000	172	147	0
Rps19bp1	158.000000	231	85	0
Atf4	158.000000	231	85	0
Gm3435	155.500000	161	150	0
Bzw1	155.000000	130	180	0
Tardbp	146.500000	176	117	0
Ubc	143.500000	149	138	0
Ubb	141.000000	179	103	0
9230019H11Rik	138.500000	120	157	0
Mfsd8	135.000000	154	116	0
Tyw5	133.000000	266	0	0
Maip1	133.000000	266	0	0
Fus	133.000000	142	124	0
Ccni	132.000000	118	146	0
2010109A12Rik	132.000000	118	146	0
Ttc39d	130.500000	157	104	0
Katnal1	130.500000	105	156	0
Osbpl1a	129.000000	258	0	0
Trip12	126.000000	108	144	0
Fbxo36	126.000000	108	144	0
Nfat5	125.500000	117	134	0
Nup50	125.000000	142	108	0
Cerk	122.000000	117	127	0
Chordc1	121.000000	141	101	0
Lrpprc	119.500000	239	0	0
Mettl25	119.000000	108	130	0
Ccdc59	119.000000	108	130	0
Supv3l1	118.500000	237	0	0
Ifna13	117.000000	234	0	0
Srp19	115.000000	120	110	0
Ints13	115.000000	89	141	0
Fgfr1op2	115.000000	89	141	0
Tfap4	112.000000	224	0	0
Esyt2	111.000000	120	102	0
Rab5if	110.500000	121	100	0
Vmn1r3	109.500000	0	219	0
Vmn1r2	109.500000	0	219	0
Ndufs1	109.500000	142	77	0
Eef1b2	109.500000	142	77	0
Wrb	108.500000	217	0	0
Cd163l1	108.500000	0	217	0
Mpdu1	107.000000	112	102	0
Eif4a1	107.000000	112	102	0
Cd68	107.000000	112	102	0
Rhebl1	106.500000	213	0	0
Kmt2d	106.500000	213	0	0
Kmt2a	106.500000	213	0	0
Gtf2b	106.500000	139	74	0
Uaca	106.000000	212	0	0
Ostc	106.000000	212	0	0
Fbxw7	105.000000	103	107	0
Olfr855	104.000000	208	0	0
Olfr854	104.000000	208	0	0
Zgrf1	101.500000	107	96	0
Rps29	101.500000	203	0	0
Lrr1	101.500000	203	0	0
Larp7	101.500000	107	96	0
Ptpn23	101.000000	108	94	0
Tmem185b	100.500000	104	97	0
Stat3	99.000000	198	0	0
Cstf2t	99.000000	86	112	0
Zfp433	98.000000	114	82	0
Gm32687	98.000000	114	82	0
Ciart	98.000000	98	98	0
BC028528	98.000000	98	98	0
Tcf3	97.500000	195	0	0
C9orf72	97.000000	194	0	0
Crebrf	95.000000	190	0	0
Baz1b	94.500000	113	76	0
Gorasp2	92.000000	184	0	0
Cnot10	92.000000	87	97	0
Tmem131	91.500000	183	0	0
Ppil4	90.500000	84	97	0
Ube2f	89.000000	178	0	0
Kdm3a	89.000000	178	0	0
Nlrp10	88.500000	177	0	0
Fbxo33	88.500000	177	0	0
Eif3f	88.500000	177	0	0
Cdk5rap2	88.000000	176	0	0
Ccng2	88.000000	176	0	0
Cpsf2	87.500000	175	0	0
Erlin2	87.000000	174	0	0
9030025P20Rik	87.000000	174	0	0
Prkdc	84.000000	67	101	0
Mfn2	84.000000	0	168	0
Mcm4	84.000000	67	101	0
Pih1d2	83.500000	167	0	0
Nkapd1	83.500000	167	0	0
Kifc1	83.500000	167	0	0
Ube2j2	81.500000	163	0	0
Mettl1	81.500000	0	163	0
Ints7	81.500000	163	0	0
Eif3d	81.500000	163	0	0
Eef1akmt3	81.500000	0	163	0
Dtl	81.500000	163	0	0
Cyp27b1	81.500000	0	163	0
AW549877	81.000000	162	0	0
Gmfb	80.500000	161	0	0
Cgrrf1	80.500000	161	0	0
Capns1	80.500000	0	161	0
Ap4e1	80.500000	161	0	0
Phf5a	80.000000	160	0	0
Ogfod2	80.000000	160	0	0
Ino80	80.000000	160	0	0
Arl6ip4	80.000000	160	0	0
Aco2	80.000000	160	0	0
Snx12	79.500000	0	159	0
Rbl1	79.500000	159	0	0
Dhrsx	79.500000	159	0	0
Zfp408	78.500000	157	0	0
Usp37	78.500000	157	0	0
Ppm1l	78.500000	157	0	0
Pfn4	78.500000	0	157	0
Fam228b	78.500000	0	157	0
Cnot9	78.500000	157	0	0
Cep63	78.500000	0	157	0
Arhgap1	78.500000	157	0	0
Anapc13	78.500000	0	157	0
Zfp335	78.000000	156	0	0
Rpl27	78.000000	156	0	0
Ifi35	78.000000	156	0	0
Zfp119a	77.500000	155	0	0
Tspan4	77.500000	155	0	0
Srpr	77.500000	155	0	0
Polr2l	77.500000	155	0	0
Foxred1	77.500000	155	0	0
Cd151	77.500000	155	0	0
Vti1b	77.000000	0	154	0
Sept7	77.000000	154	0	0
Canx	77.000000	154	0	0
Adnp	76.000000	152	0	0
Tsc1	74.500000	149	0	0
Srp9	74.500000	149	0	0
Pop7	74.500000	149	0	0
Mre11a	74.500000	0	149	0
Ly6g6f	74.500000	149	0	0
Ly6g6d	74.500000	149	0	0
Ankrd49	74.500000	0	149	0
Abhd16a	74.500000	149	0	0
Drg2	74.000000	148	0	0
Tyw3	73.000000	146	0	0
Pten	73.000000	146	0	0
Cryz	73.000000	146	0	0
Akirin1	73.000000	146	0	0
Thrap3	72.500000	0	145	0
Arih1	72.500000	145	0	0
Slc8a2	72.000000	144	0	0
Nsfl1c	72.000000	144	0	0
Lamtor5	72.000000	0	144	0
Kptn	72.000000	144	0	0
Tbccd1	71.500000	143	0	0
Taf9	71.500000	0	143	0
Rad17	71.500000	0	143	0
Ppp6c	71.500000	143	0	0
Dnajb11	71.500000	143	0	0
Ak6	71.500000	0	143	0
Trmo	71.000000	0	142	0
Kansl3	71.000000	142	0	0
Fer1l5	71.000000	142	0	0
Srp54b	70.500000	141	0	0
