Antigen,Cell type class in Colocalization,Recorded (+) or not (-) in Target Genes,Genome assembly,Target Genes (TSS }1k),Target Genes (TSS }5k),Target Genes (TSS }10k),Colocalization (TSV),Colocalization (GML)
aha-1,Larvae,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/aha-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/aha-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/aha-1.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/aha-1.Larvae.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml
alr-1,Larvae,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/alr-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/alr-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/alr-1.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/alr-1.Larvae.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml
aly-2,Larvae,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/aly-2.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/aly-2.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/aly-2.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/aly-2.Larvae.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml
ama-1,"Adult,Embryo,Larvae",+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ama-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ama-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ama-1.10.tsv,"http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/ama-1.Adult.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/ama-1.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/ama-1.Larvae.tsv","http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Adult.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml"
ash-2,"Adult,Embryo",+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ash-2.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ash-2.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/ash-2.10.tsv,"http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/ash-2.Adult.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/ash-2.Embryo.tsv","http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Adult.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml"
atfs-1,Adult,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/atfs-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/atfs-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/atfs-1.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/atfs-1.Adult.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Adult.gml
blmp-1,"Embryo,Larvae",+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/blmp-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/blmp-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/blmp-1.10.tsv,"http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/blmp-1.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/blmp-1.Larvae.tsv","http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Larvae.gml"
capg-1,Embryo,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/capg-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/capg-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/capg-1.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/capg-1.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml
capg-2,Embryo,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/capg-2.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/capg-2.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/capg-2.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/capg-2.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml
cbp-1,Embryo,+,ce10,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/cbp-1.1.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/cbp-1.5.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/target/cbp-1.10.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/cbp-1.Embryo.tsv,http://dbarchive.biosciencedbc.jp/kyushu-u/ce10/colo/Embryo.gml
