TF,Variance explained,Nr of genes
Acaa2,0.48646622957106206,613
Acss2,0.48359290270098576,781
Actb,0.4662146221516491,32
Adnp,0.4033404869218247,4361
Aebp2,0.44551121274209793,10761
Aff3,0.4292798735339936,8605
Aff4,0.45369426298673926,2031
Ahcy,0.4090035115759692,178
Ahr,0.36629299395763,1843
Aicda,0.3667819260161147,289
Aire,0.4143885884992655,11300
Anp32e,0.48742920276734,2595
Ar,0.39624229039650133,9392
Arid1a,0.3942674972192783,3293
Arid3a,0.42300635012977805,7138
Arid4b,0.46653961237760655,3099
Arntl,0.4065266219053688,11060
Art1,0.6272258284735832,8
Ascl1,0.42275370556145725,14311
Ascl2,0.38644626669772036,1399
Ash1l,0.41529810571296166,23
Ash2l,0.44169911285488256,13409
Asxl1,0.42891801003427077,11475
Atf2,0.4200010972050228,6835
Atf3,0.40156283230633877,11555
Atf4,0.3855723988497089,7038
Atf7,0.4613914762101568,722
Atf7ip,0.399550979868371,549
Atm,0.4774822342859377,21
Atoh1,0.42047399411061676,2929
Atrx,0.42833238204833984,12248
Auts2,0.4916442923712668,1834
Bach1,0.4365795639288746,6249
Bach2,0.4023506064978601,9054
Bap1,0.4500041468982181,4004
Batf,0.4007956606822061,14465
Batf3,0.38902244968234795,5884
Baz1a,0.36133178341203415,132
Baz1b,0.40997149346812495,114
Baz2a,0.48028787151294056,25
Bbx,0.48189151323685553,340
Bcl11a,0.4990791663395544,13
Bcl11b,0.4087333608052589,14355
Bcl6,0.3890913958989404,13367
Bcor,0.44157012336296037,6755
Bhlhe40,0.40010018836420824,13780
Bhlhe41,0.43506055721743087,4027
Bmi1,0.4410920748019762,2608
Brca1,0.38452899437612553,306
Brd2,0.4166561551564888,12980
Brd3,0.4650085569832173,1119
Brd4,0.40185754825642084,17309
Brd9,0.4283720067839138,10003
Brf1,0.36698350837167354,100
Brf2,0.3925624461142956,38
Brwd1,0.38232237741971603,688
Btaf1,0.40810999239167317,16538
Carm1,0.42936931736640743,86
Cbfa2t2,0.39838703975508644,2509
Cbfa2t3,0.440851958830893,10362
Cbfb,0.4060047178258962,14129
Cbx1,0.4126866444701847,4396
Cbx2,0.41215171750514973,3343
Cbx3,0.4457967043432106,11403
Cbx5,0.39635142329425077,589
Cbx7,0.446130408946646,8117
Cbx8,0.431408394219363,4681
Ccnk,0.47995914333907774,1192
Ccnt1,0.45642632571976666,4190
Cdc73,0.39684455585026446,5298
Cdk8,0.4275086281018138,8321
Cdk9,0.4294546378820356,8687
Cdx2,0.3850693038569032,4350
Cebpa,0.39451213589534523,17721
Cebpb,0.3953724167246723,17303
Cebpd,0.3815013450028856,7160
Cebpe,0.3986483358684381,7927
Cebpg,0.40323698466600877,591
Chaf1b,0.46916473409214765,3720
Chd1,0.41257007369807086,6084
Chd2,0.42049666738449204,9818
Chd4,0.4035080316724882,17481
Chd7,0.4547898174685475,2568
Chd8,0.44414342240548726,8985
Clock,0.41144268036004505,11271
Creb1,0.4009687421134469,15881
Creb3l2,0.47382304343916076,4025
Crebbp,0.4114514907081585,15724
Crtc2,0.41913170406451894,5068
Crx,0.4543429390823342,2681
Cry1,0.39321281097986793,132
Ctcf,0.3976518892826819,18451
Ctcfl,0.40474985539120406,7351
Ctnnb1,0.40150896810588044,5476
Ctr9,0.43751228680595156,3624
Cux2,0.36750984324158437,227
Cxxc1,0.45673789143567395,12084
Cxxc5,0.4847625129767484,1334
Daxx,0.43528888777924435,345
Ddit3,0.37464280434369424,427
Ddx21,0.43694286223842466,12972
Ddx5,0.4725892726947347,58
Dgcr8,0.41916109884381686,1544
Dicer1,0.4075869458572149,980
Dlx1,0.4525425834988099,40
Dlx3,0.46110480592786973,2641
Dmap1,0.4507314223576593,7539
Dmc1,0.40966623880929354,15536
Dmrt1,0.4056940715835404,5377
Dmrtb1,0.4271656525169601,938
Dnajc2,0.37900155039830646,68
Dnmt3a,0.3713363011933224,314
Dnmt3b,0.39410041506992943,241
Dpf2,0.3971786210666682,3004
Dppa2,0.4118507492619572,16181
Dppa4,0.4269346972525481,14613
Dpy30,0.45520807496905463,8646
Dr1,0.40504525519531465,17239
Drosha,0.39521723847587087,113
Duxbl1,0.39341760187459013,8211
E2f1,0.43601568533417084,6249
E2f3,0.42752451393838964,8853
E2f4,0.4256974577166409,10027
E4f1,0.4419651563764951,289
Ebf1,0.3942004342197799,9397
Ebf2,0.4101234751137966,16103
Ebf4,0.4613488942695939,4199
Eed,0.49545626399260495,2988
Egr1,0.3821707835019185,3659
Egr2,0.43100129765831174,10979
Ehf,0.3929877853311985,2053
Ehmt2,0.4116528643498863,246
Elf1,0.42216709962732735,9939
Elf4,0.4138269463792861,10569
Elf5,0.4009844879721578,13062
Elk1,0.5035743802283429,4674
Elk3,0.43311484423909147,84
Elk4,0.4371217291460326,522
Ell,0.42230256066302796,475
Ell2,0.3573006410916954,478
Ell3,0.4177368697658671,4208
Elob,0.4728905960348937,1283
Eomes,0.40732742330981064,2513
Ep300,0.39704889910347957,18259
Ep400,0.40335918099982343,3436
Epop,0.4300157278108835,13266
Ercc3,0.3722539315426564,146
Erf,0.4185816216586403,12504
Erg,0.39765585755681765,16423
Esr1,0.4029837496757677,16659
Esrra,0.4132299093729243,11438
Esrrb,0.40332257723708903,13714
Esrrg,0.452835176564379,97
Ets1,0.4019702544506012,14531
Ets2,0.4191588783345231,12865
Etv2,0.44182841803088807,88
Etv5,0.4463046981063201,9728
Etv6,0.47934485730689297,4024
Ezh1,0.380290507553992,336
Ezh2,0.4215685154835829,14744
Fbxo21,0.453270154728787,3160
Fgfr1,0.4017129945576799,16424
Fli1,0.39826930812624217,16054
Fos,0.400236071727065,13871
Fosb,0.4484558232732722,1250
Fosl1,0.4098335654245976,13209
Fosl2,0.4012244628744028,12229
Foxa1,0.3927738717048096,13939
Foxa2,0.40208277112819607,17098
Foxa3,0.3525242136848441,874
Foxf1,0.41384431977579567,13247
Foxg1,0.4482649611516853,1241
Foxh1,0.4233764057948596,14994
Foxj2,0.4510832869517566,1080
Foxk1,0.44395277234670116,1407
Foxl2,0.4320852107049297,9729
Foxo1,0.4545353174161413,3358
Foxo3,0.4202690006311018,4832
Foxp1,0.430959019813399,14241
Foxp3,0.4230824152251058,12119
Gabpa,0.42006273668993566,10802
Gad1,0.4346978928208473,829
Gadd45a,0.4331789940591586,46
Gata1,0.40690683391225635,12767
Gata2,0.40617855233358074,15119
Gata3,0.4016788030138203,14109
Gata4,0.40535278554154347,16740
Gata6,0.37714593906202376,4102
Gckr,0.479957131687395,3942
Gcm1,0.6769078690422192,8
Gfi1,0.4198938808345995,15287
Gfi1b,0.42666761839749756,7983
Gli1,0.3709096385685136,3378
Gli2,0.3738943742806297,4476
Gli3,0.41181563611304917,15194
Glis3,0.41612948928217697,28
Glyr1,0.5025174798771176,19
Gmnn,0.3958219108382198,3239
Gps2,0.3802294535751091,9174
Grhl2,0.4064292326349631,2353
Grhl3,0.4178271600405806,1306
Grip1,0.35436348877663837,1485
Gtf2a2,0.3842163992105998,136
Gtf2b,0.4214334719843251,12292
Gtf2e2,0.4166996848991333,7262
Gtf2f1,0.3900611826375751,76
Gtf3c1,0.4300841879438192,14276
Gtf3c2,0.39776606778858276,227
Gtf3c4,0.4177173268311677,143
Hand1,0.41438605669087375,439
Hand2,0.41800325668263166,13614
Hcfc1,0.40962420527081767,13686
Hdac1,0.42064874150570297,13404
Hdac2,0.40523285754558513,15994
Hdac3,0.4004072719675012,15126
Hdac4,0.41185036920417495,826
Hells,0.45997260730027734,2174
Hexim1,0.432918751491466,12950
Hic2,0.3986428052879739,1431
Hif1a,0.4439792855304703,4199
Hira,0.40011574175371223,126
Hmga2,0.44931140944385145,22
Hmgn2,0.4265796801965988,100
Hnf1a,0.350677697339059,2588
Hnf1b,0.3686469729417466,1467
Hnf4a,0.3961023207331424,13994
Hnf4g,0.3840543614741149,6957
Hnrnpk,0.3592653243948244,291
Hnrnpl,0.4124495216290707,65
Hnrnpu,0.44232764621290227,4681
Hopx,0.45130927487484224,8984
Hoxa11,0.44793914038484284,228
Hoxa13,0.39369709292540167,8317
Hoxb1,0.41557039244441435,9844
Hoxb4,0.4076757176094004,9347
Hoxc10,0.37554772555863036,134
Hoxc6,0.3808556041689487,141
Hoxd13,0.4059198071323383,3083
Hsf1,0.3859820326737184,3259
Hsf2,0.46896198965973723,23
Htatsf1,0.4728566904976314,4187
Htt,0.49470583460352413,20
Id2,0.43768897649249167,5954
Ikzf1,0.4062427353268063,14077
Ikzf2,0.4867191485161842,2051
Ikzf3,0.4454093079973958,774
Ing1,0.3819169245380456,44
Ino80,0.42394503930669236,13265
Insm1,0.4241580365501727,14253
Irf1,0.3784276618672543,5933
Irf2,0.43790685732468304,2557
Irf2bp2,0.3687020360512315,2058
Irf3,0.3939787346998026,7957
Irf4,0.40040625028279664,16017
Irf5,0.4084407655966555,10646
Irf7,0.45074094863789266,970
Irf8,0.39908294314474235,12495
Irf9,0.42360195567226056,9101
Isl1,0.4119510759066346,15471
Jarid2,0.43579709456776705,10999
Jmjd1c,0.4452063526132559,309
Jmjd6,0.39499967885332155,3682
Jun,0.3991123424328117,15949
Junb,0.39225338027010814,12296
Jund,0.39753637837287786,15863
Kansl3,0.4783006923950941,7797
Kat2a,0.4220336294263868,10951
Kat2b,0.44607635634670084,54
Kat5,0.4300900214385991,11488
Kat8,0.45219737769041646,7937
Kdm1a,0.4034904564692561,17138
Kdm2a,0.4540008334703305,7509
Kdm2b,0.4314034081587208,14302
Kdm3a,0.4140115567123709,112
Kdm3b,0.4063798446854712,57
Kdm4a,0.48171711412013163,3966
Kdm4c,0.40527966838494955,17471
Kdm4d,0.48444307698086925,43
Kdm5a,0.4235604941634499,12636
Kdm5b,0.35573983756997096,92
Kdm5c,0.459122429039079,973
Kdm6a,0.4515023880735911,8541
