TF,C(organ),C(dev_stage),C(organ):C(dev_stage)
Acaa2,0.15357276509001694,0.8436876450900337,0.2340839996416281
Acss2,0.008522208278974234,0.6779610111961683,0.18168407643111523
Actb,0.0025624073242586005,0.32524012252869994,0.21379381235719186
Adnp,0.0021366319602568354,0.6867890483857471,0.23837587294035834
Aebp2,0.0006494416751451686,0.6412340319099152,0.22193440167166834
Aff3,0.003163756878055491,0.7302004760877414,0.25525962776586797
Aff4,0.07833775081309301,0.809002841340846,0.24066668466750685
Ahcy,0.0013202547773768381,0.542237567956519,0.21170357883242838
Ahr,0.0007601546854281109,0.7363591047750587,0.18845600709212026
Aicda,0.0004560024139546541,0.4328935556237601,0.4426319100131173
Aire,0.004776782161659077,0.7118562563688957,0.22517708729368355
Anp32e,0.07206256129949185,0.7978544764494305,0.26588219411394987
Ar,0.000516256141671582,0.6211581127045636,0.17602364025060804
Arid1a,0.00034683093198689804,0.6373746501658857,0.21739850690214935
Arid3a,0.005219567999532938,0.710797385048088,0.25179698423071223
Arid4b,0.07777829036454299,0.8089657952765115,0.23987066399941803
Arntl,0.0019558640429040907,0.6967695034400003,0.20343973698757828
Art1,0.0006090858255834863,0.23509289795977606,0.45940485119894103
Ascl1,0.00024091909191267474,0.5907401644473602,0.2157013009298307
Ascl2,0.0007527109307518933,0.5509944828469944,0.20792546905050238
Ash1l,2.571243597033644e-07,0.013297971466222547,0.1971138575332927
Ash2l,0.0005671604853735313,0.6404355373388894,0.23361477472358694
Asxl1,0.008677512517360474,0.7317475530916542,0.23227490291298997
Atf2,0.006940035696986831,0.6971034639722278,0.22814919004427292
Atf3,0.002595383273072021,0.6620069201754646,0.20635325303605073
Atf4,0.001256257599542499,0.6438753276546794,0.18333844469292027
Atf7,0.02417609861351588,0.6756361859398553,0.23992016999930632
Atf7ip,0.0033621262874811977,0.6566228827124958,0.15941792983273081
Atm,0.019354552939118915,0.5921244543279981,0.23209367162664443
Atoh1,0.0033376375174916256,0.6498323658190192,0.22244955100948596
Atrx,0.0006867145111466925,0.6384671642477129,0.21590624248161822
Auts2,0.012227940176764148,0.7517264255547407,0.2882888573151152
Bach1,0.046785892611610674,0.787853673222652,0.2485185983256009
Bach2,0.007207087003586046,0.6928030184725,0.20856065483204722
Bap1,0.01598512746046589,0.7886807792353481,0.2622419017653685
Batf,0.0009215226605011238,0.6538716765330177,0.2085988980526029
Batf3,0.010943313420200895,0.6932266948775658,0.16963963345167407
Baz1a,0.00038689756192777556,0.4140282526611722,0.15723802726006217
Baz1b,0.0007776173717120224,0.49804689113608114,0.18983754893371946
Baz2a,0.0009232411790324814,0.8636002835914428,0.3755454814244729
Bbx,0.04653996542191261,0.8062017064960769,0.28899938501613337
Bcl11a,0.037189083763656594,0.28261354062647376,0.131327701181153
Bcl11b,0.0008645632228842094,0.6621418755476114,0.21967096241890702
Bcl6,8.090890302000037e-05,0.5992381283908121,0.20244621949524874
Bcor,0.000988701558404866,0.6184143537073482,0.2084950447230611
Bhlhe40,0.000926558311173948,0.6523639447332108,0.2121547732965127
Bhlhe41,0.02377641235218836,0.756196527059384,0.24057145122810727
Bmi1,1.2429665694073737e-06,0.5102045751319633,0.27911420018265
Brca1,0.001294220402033249,0.5165102339279631,0.19864793435465256
Brd2,0.0022684712461445763,0.6950675595442248,0.22502831319812147
Brd3,0.016893207772483636,0.7774978733590678,0.2634134898002082
Brd4,8.65815269450908e-05,0.592246606401004,0.20533581893803302
Brd9,0.006408479022057012,0.7350654125651652,0.24585669785045652
Brf1,0.00014722595340154474,0.3950997859442203,0.35161951447864337
Brf2,2.178342752911171e-05,0.47707054656628334,0.03247799537290036
Brwd1,5.605727521615455e-06,0.23064478412055694,0.17953881478415112
Btaf1,0.00010610623896191435,0.5806722355610603,0.21300069757572002
Carm1,0.0004315899772457369,0.2148453248039809,0.16688877644953587
Cbfa2t2,9.88159215153448e-05,0.587367646870172,0.275944216811974
Cbfa2t3,0.012167447733773078,0.7459030141584685,0.24121462716336053
Cbfb,0.0013050780417350985,0.6767580194328109,0.21942236618630034
Cbx1,0.0008733606143742988,0.6865825176592137,0.2166396987010111
Cbx2,6.407133740028221e-05,0.6008032690249188,0.24792204822654548
Cbx3,0.0020999332521064017,0.6735110078476942,0.22826376595740247
Cbx5,0.00013222197660827002,0.4342219216231926,0.13169846177881764
Cbx7,2.2301530670973444e-05,0.4442832841736509,0.20852643848252164
Cbx8,0.009147549370943326,0.7647498972316265,0.23972531978475914
Ccnk,0.015437618587319082,0.7932143659511847,0.232727104539404
Ccnt1,0.06111452465504663,0.7872319726081868,0.2588644314509992
Cdc73,0.00024254453716972263,0.5619228799151438,0.25509985588856315
Cdk8,0.005908082350820223,0.7430795188188314,0.24580875322664716
Cdk9,0.01218719648748273,0.7450044266685494,0.23821669964794062
Cdx2,0.00017510130703273915,0.6292677355098641,0.1861030995002011
Cebpa,0.00010337265885629259,0.5950271531753916,0.20236106618431382
Cebpb,0.000123036859744899,0.6072449426636719,0.20417235346196153
Cebpd,0.002788501460464517,0.6385563549156034,0.18508589151762822
Cebpe,0.014634213588514525,0.7225610032661628,0.21238586124001965
Cebpg,0.008105850104904739,0.6712441501081697,0.1461252965334714
Chaf1b,0.05571717995254171,0.7824587160046796,0.24982042620877662
Chd1,0.027467575618421634,0.7854668852498893,0.23466897034316408
Chd2,0.009754767073699872,0.7383398811474318,0.23422553975798233
Chd4,9.197820736321695e-05,0.5764691710477386,0.21065991729063163
Chd7,0.025523278069371377,0.7671311530525406,0.27938954374874825
Chd8,0.015072123117490357,0.76017660070777,0.2523812176022698
Clock,0.008781906303736238,0.7388909320403487,0.21803912666206726
Creb1,0.00023153159679182756,0.6349732161846837,0.2048811339656352
Creb3l2,0.046865692557295335,0.7835845358776006,0.26916972652393445
Crebbp,0.00017684871581824258,0.6243217101338191,0.20515555888447426
Crtc2,0.005769901238766494,0.6551235472470714,0.21616241936593059
Crx,0.002534148808528362,0.6886004144002156,0.21574702675073387
Cry1,0.0004809402599873731,0.31420699025444854,0.09844930927093125
Ctcf,6.990482666146475e-05,0.5742260246855029,0.20520660501822077
Ctcfl,0.0002260203635179773,0.5903694521422362,0.21715964680662533
Ctnnb1,0.0044266534588677815,0.66018863075943,0.19705460474825023
Ctr9,0.019247330055236368,0.7701257765517661,0.2772734300373124
Cux2,3.823067286451578e-07,0.8703926725870025,0.036325385376490694
Cxxc1,0.0014496981662489878,0.6657534519040912,0.23061273763023477
Cxxc5,0.024877247616934918,0.7665843028748185,0.30927263370719865
Daxx,0.004215533669259862,0.5774254424180827,0.290581784976443
Ddit3,0.008445652431309939,0.6370346571131622,0.1801049797796159
Ddx21,0.0011042463769577516,0.6615197057004081,0.22832446654497085
Ddx5,0.0017916420529787377,0.3302244543636582,0.17433094778758496
Dgcr8,0.006312002707790731,0.7663190386533816,0.3257096415813047
Dicer1,0.004687612437317657,0.804652998123271,0.18176402934383593
Dlx1,0.008946447011346862,0.4725843104020504,0.290908596140649
Dlx3,0.02197715918530138,0.7482601779335444,0.24532141134247226
Dmap1,0.0245640255083614,0.7933398278423268,0.257464591570895
Dmc1,0.0002369209066456122,0.6164541865886072,0.21501652512915648
Dmrt1,0.00028071491102300486,0.6288889633296577,0.20346732506169618
Dmrtb1,0.00267469425789601,0.6655738741282012,0.2543668958720471
Dnajc2,0.0002167304456043129,0.24954948434862015,0.05239293579047626
Dnmt3a,0.005815890672310524,0.8206118995180123,0.15618135706145592
Dnmt3b,4.021286498200878e-05,0.3758966981627342,0.22531924316951235
Dpf2,0.00011031473482193785,0.6453346282113855,0.2405549048346492
Dppa2,0.00016284900769219157,0.5965908127577833,0.21490694546779113
Dppa4,0.00028491347724931437,0.6108772020400893,0.22016570672416383
Dpy30,0.006588967644990358,0.7318390317338977,0.2441630288784912
Dr1,0.00010305872507933581,0.5792873621799051,0.21170149444873085
Drosha,0.17203606972059404,0.8077803637426184,0.1535930918675737
Duxbl1,0.0001232034786688129,0.6284298391413097,0.16926983019530353
