TF,C(organ),C(dev_stage),C(organ):C(dev_stage)
Acaa2,0.001565705695958794,0.05056043326415013,0.005299888804823993
Acss2,0.00011246166681201264,0.049624201478985844,0.005299888804823993
Actb,4.48768329253211e-05,0.049624201478985844,0.005299888804823993
Adnp,3.886292792822978e-05,0.049624201478985844,0.005299888804823993
Aebp2,1.7648681474289465e-05,0.049624201478985844,0.005299888804823993
Aff3,5.2424056792488584e-05,0.049624201478985844,0.005299888804823993
Aff4,0.000809162830323919,0.04982236756538212,0.005299888804823993
Ahcy,2.737516247618203e-05,0.049624201478985844,0.005299888804823993
Ahr,1.977372412843657e-05,0.049624201478985844,0.005299888804823993
Aicda,1.4468305713934791e-05,0.049624201478985844,0.00794143764488791
Aire,7.191061062312943e-05,0.049624201478985844,0.005299888804823993
Anp32e,0.0007487174933452316,0.04972088552863089,0.005312464242106953
Ar,1.534771310661513e-05,0.049624201478985844,0.005299888804823993
Arid1a,1.20293747220761e-05,0.049624201478985844,0.005299888804823993
Arid3a,7.677942964048376e-05,0.049624201478985844,0.005299888804823993
Arid4b,0.0008045785281925098,0.04982236756538212,0.005299888804823993
Arntl,3.651361657236193e-05,0.049624201478985844,0.005299888804823993
Art1,1.6966809136369587e-05,0.049624201478985844,0.008230491137925653
Ascl1,9.950569294042795e-06,0.049624201478985844,0.005299888804823993
Ascl2,1.965234275791687e-05,0.049624201478985844,0.005299888804823993
Ash1l,4.548190324941588e-07,0.049624201478985844,0.005299888804823993
Ash2l,1.6246671913152108e-05,0.049624201478985844,0.005299888804823993
Asxl1,0.00011391000784157168,0.049624201478985844,0.005299888804823993
Atf2,9.567908486716105e-05,0.049624201478985844,0.005299888804823993
Atf3,4.514091341322652e-05,0.049624201478985844,0.005299888804823993
Atf4,2.677293702139334e-05,0.049624201478985844,0.005299888804823993
Atf7,0.00027108922584901047,0.049624201478985844,0.005299888804823993
Atf7ip,5.443622286626006e-05,0.049624201478985844,0.005299888804823993
Atm,0.00022395220673685387,0.049624201478985844,0.005299888804823993
Atoh1,5.428818343350075e-05,0.049624201478985844,0.005299888804823993
Atrx,1.8335204106800265e-05,0.049624201478985844,0.005299888804823993
Auts2,0.00015152091882121918,0.049624201478985844,0.005502797384156501
Bach1,0.0004992945083626171,0.049624201478985844,0.005299888804823993
Bach2,9.863353988338992e-05,0.049624201478985844,0.005299888804823993
Bap1,0.0001900879276256448,0.049624201478985844,0.005299888804823993
Batf,2.244799598892437e-05,0.049624201478985844,0.005299888804823993
Batf3,0.00013876183582117184,0.049624201478985844,0.005299888804823993
Baz1a,1.3288751211111546e-05,0.049624201478985844,0.005299888804823993
Baz1b,2.0007308020034883e-05,0.049624201478985844,0.005299888804823993
Baz2a,2.244799598892437e-05,0.05126999160489444,0.006836463231567218
Bbx,0.000497420254039139,0.04982236756538212,0.005502797384156501
Bcl11a,0.0004060652926674594,0.049624201478985844,0.005299888804823993
Bcl11b,2.1692172392719025e-05,0.049624201478985844,0.005299888804823993
Bcl6,8.221206274165344e-06,0.049624201478985844,0.005299888804823993
Bcor,2.3433637103593983e-05,0.049624201478985844,0.005299888804823993
Bhlhe40,2.2451496943023426e-05,0.049624201478985844,0.005299888804823993
Bhlhe41,0.00026745521888804137,0.049624201478985844,0.005299888804823993
Bmi1,7.995067985038853e-07,0.049624201478985844,0.005375259141699051
Brca1,2.717275912672686e-05,0.049624201478985844,0.005299888804823993
Brd2,4.063418759513812e-05,0.049624201478985844,0.005299888804823993
Brd3,0.00019954493069207689,0.049624201478985844,0.005299888804823993
Brd4,8.341437722059869e-06,0.049624201478985844,0.005299888804823993
Brd9,9.068602389703319e-05,0.049624201478985844,0.005299888804823993
Brf1,8.666790083262996e-06,0.049624201478985844,0.006410298311179906
Brf2,4.781631790517463e-06,0.049624201478985844,0.005299888804823993
Brwd1,2.2081427338026365e-06,0.049624201478985844,0.005299888804823993
Btaf1,8.341437722059869e-06,0.049624201478985844,0.005299888804823993
Carm1,1.4295378519673409e-05,0.049624201478985844,0.005299888804823993
Cbfa2t2,8.341437722059869e-06,0.049624201478985844,0.0053524536142844584
Cbfa2t3,0.00015128098916934873,0.049624201478985844,0.005299888804823993
Cbfb,2.729529464521862e-05,0.049624201478985844,0.005299888804823993
Cbx1,2.183547105742797e-05,0.049624201478985844,0.005299888804823993
Cbx2,8.221206274165344e-06,0.049624201478985844,0.005299888804823993
Cbx3,3.8412586056522875e-05,0.049624201478985844,0.005299888804823993
Cbx5,8.620168689630599e-06,0.049624201478985844,0.005299888804823993
