TF	Variance explained	Nr of genes
Acaa2	0.4876040453247979	613
Acss2	0.49354551553376663	781
Actb	0.42273783028620526	32
Adnp	0.42287923814782363	4361
Aebp2	0.4713880283382357	10761
Aff3	0.4474856791193682	8605
Aff4	0.4616700862652462	2031
Ahcy	0.4146345323610986	178
Ahr	0.40148957743572045	1843
Aicda	0.3835261979215139	289
Aire	0.4313474261612962	11300
Anp32e	0.4870491013860428	2595
Ar	0.4230931746369302	9392
Arid1a	0.42526887098129984	3293
Arid3a	0.43584916917079586	7138
Arid4b	0.4769028271239469	3099
Arntl	0.43083107366029966	11060
Art1	0.6122892080576802	8
Ascl1	0.4519480084394573	14311
Ascl2	0.40694418488262374	1399
Ash1l	0.38301605540986206	23
Ash2l	0.46612321103800547	13409
Asxl1	0.44271420454813626	11475
Atf2	0.43079742056766845	6835
Atf3	0.42173417546152286	11555
Atf4	0.41242581096081093	7038
Atf7	0.4631852999125975	722
Atf7ip	0.4113990292200387	549
Atm	0.4403194182699342	21
Atoh1	0.43479943382165204	2929
Atrx	0.45131460755227787	12248
Auts2	0.49482610553535633	1834
Bach1	0.442366294722354	6249
Bach2	0.41647737874644236	9054
Bap1	0.4618009138610908	4004
Batf	0.4259246563984213	14465
Batf3	0.40603102268219815	5884
Baz1a	0.36706685652531446	132
Baz1b	0.41421185916459713	114
Baz2a	0.5272273274609284	25
Bbx	0.48357324214618874	340
Bcl11a	0.4545383539556812	13
Bcl11b	0.43463975319446196	14355
Bcl6	0.42873188702649423	13367
Bcor	0.46338385099541735	6755
Bhlhe40	0.42615207110233067	13780
Bhlhe41	0.4447658919706594	4027
Bmi1	0.5181101592897287	2608
Brca1	0.40702441824612745	306
Brd2	0.43670422011083443	12980
Brd3	0.47040502908894105	1119
Brd4	0.44074411941225383	17309
Brd9	0.44285487596179063	10003
Brf1	0.38644446373445807	100
Brf2	0.4278994506008717	38
Brwd1	0.42007324315708744	688
Btaf1	0.44387005527913187	16538
Carm1	0.4285028216292999	86
Cbfa2t2	0.43392516368569173	2509
Cbfa2t3	0.4527291974655915	10362
