TF	C(organ)	C(dev_stage)	C(organ):C(dev_stage)
Hnf1a	9.439644218322299e-18	0.00035918026033345544	6.256237162867873e-05
Rtf1	2.3037342279096433e-14	1.0026904162741548e-09	6.256237162867873e-05
Foxa3	4.862070475788492e-16	0.0009615847224894095	0.0040050356059237215
Gckr	1.8791760337776717e-06	0.01762271173285013	0.0040050356059237215
Dpf2	1.2478151691237209e-08	0.01762271173285013	0.0040050356059237215
Dnmt3a	1.054744699642479e-06	0.01762271173285013	0.0040050356059237215
Atrx	1.0054205200167626e-07	0.01762271173285013	0.0040050356059237215
Brwd1	1.4702106406270258e-10	0.01762271173285013	0.0040050356059237215
Btaf1	1.0280013628484728e-08	0.01762271173285013	0.0040050356059237215
Cbfa2t3	5.863965994078118e-06	0.01762271173285013	0.0040050356059237215
Cbfb	1.445196963672611e-07	0.01762271173285013	0.0040050356059237215
Cbx1	1.0509324679476906e-07	0.01762271173285013	0.0040050356059237215
Brf2	7.885958963846426e-10	0.01762271173285013	0.0040050356059237215
Atoh1	6.882253670233464e-07	0.01762271173285013	0.0040050356059237215
Cbx3	5.936072977224266e-07	0.01762271173285013	0.0040050356059237215
Cbx5	6.512168560747098e-09	0.01762271173285013	0.0040050356059237215
Foxa1	3.199150223475205e-08	0.01762271173285013	0.0040050356059237215
Fosl2	4.624711952373364e-08	0.01762271173285013	0.0040050356059237215
Fosl1	5.6609367318827247e-08	0.01762271173285013	0.0040050356059237215
Fosb	1.0501556257170877e-08	0.01762271173285013	0.0040050356059237215
Foxg1	5.6609367318827247e-08	0.01762271173285013	0.0040050356059237215
Dppa2	1.4876002939991755e-08	0.01762271173285013	0.0040050356059237215
Foxf1	3.2821662837874645e-07	0.01762271173285013	0.0040050356059237215
Foxa2	1.009170005935616e-08	0.01762271173285013	0.0040050356059237215
Ascl1	2.3723553082915795e-08	0.01762271173285013	0.0040050356059237215
Esrrg	1.8942468073286167e-06	0.01762271173285013	0.0040050356059237215
Ets1	7.855152215162002e-08	0.01762271173285013	0.0040050356059237215
Ets2	4.6074922510421834e-07	0.01762271173285013	0.0040050356059237215
Etv2	3.857599020133031e-06	0.01762271173285013	0.0040050356059237215
Etv5	7.27398362028688e-06	0.01762271173285013	0.0040050356059237215
Mef2c	1.4385542407016873e-07	0.01762271173285013	0.0040050356059237215
Ezh2	1.5840583090978127e-08	0.01762271173285013	0.0040050356059237215
Fgfr1	1.2750305784563402e-08	0.01762271173285013	0.0040050356059237215
Fli1	1.830423238173376e-08	0.01762271173285013	0.0040050356059237215
Fos	2.9279279435151398e-08	0.01762271173285013	0.0040050356059237215
Cbx7	1.8670543331743033e-09	0.01762271173285013	0.0040050356059237215
Cbx8	2.4988164162798317e-06	0.01762271173285013	0.0040050356059237215
Ccnk	1.2708759474961508e-05	0.01762271173285013	0.0040050356059237215
Cdk8	1.7734436998322385e-06	0.01762271173285013	0.0040050356059237215
Cdk9	4.572972249201118e-06	0.01762271173285013	0.0040050356059237215
Cdx2	1.1894386250649557e-08	0.01762271173285013	0.0040050356059237215
Cebpa	8.354146651602862e-09	0.01762271173285013	0.0040050356059237215
Cebpb	9.717707075085663e-09	0.01762271173285013	0.0040050356059237215
Cxxc1	4.1971194718516316e-07	0.01762271173285013	0.0040050356059237215
Atf7ip	5.25857749724988e-07	0.01762271173285013	0.0040050356059237215
Atf4	3.448477773861602e-08	0.01762271173285013	0.0040050356059237215
Ddit3	2.222342500617159e-07	0.01762271173285013	0.0040050356059237215
Ddx21	2.2535860570255342e-07	0.01762271173285013	0.0040050356059237215
Ddx5	1.7925402712232e-06	0.01762271173285013	0.0040050356059237215
Atf3	2.0493607444616217e-07	0.01762271173285013	0.0040050356059237215
Dicer1	1.1627952509469113e-06	0.01762271173285013	0.0040050356059237215
Atf2	1.7740863209948264e-06	0.01762271173285013	0.0040050356059237215
Dlx3	1.9470364229300507e-05	0.01762271173285013	0.0040050356059237215
Dmap1	1.8367242220715435e-05	0.01762271173285013	0.0040050356059237215
Brd2	4.014342122760704e-07	0.01762271173285013	0.0040050356059237215
Gata6	1.1090098823010545e-08	0.01762271173285013	0.0040050356059237215
Brca1	3.2548678200316535e-08	0.01762271173285013	0.0040050356059237215
Bhlhe41	1.2858669262970682e-05	0.01762271173285013	0.0040050356059237215
Cbx2	6.762537296176911e-09	0.01762271173285013	0.0040050356059237215
Brf1	1.0212226571532068e-07	0.01762271173285013	0.0040050356059237215
Brd9	2.1298296763352438e-06	0.01762271173285013	0.0040050356059237215
Brd4	7.2144110679236056e-09	0.01762271173285013	0.0040050356059237215
Batf	8.082588773233447e-08	0.01762271173285013	0.0040050356059237215
Batf3	3.7154144376425114e-07	0.01762271173285013	0.0040050356059237215
Baz1a	1.2175253815600831e-08	0.01762271173285013	0.0040050356059237215
Baz1b	1.7981299437584284e-07	0.01762271173285013	0.0040050356059237215
Baz2a	6.341481337768308e-07	0.01762271173285013	0.0040050356059237215
Bach1	3.112932737562951e-05	0.01762271173285013	0.0040050356059237215
Bcl11a	0.00026555607579494017	0.01762271173285013	0.0040050356059237215
Bcl11b	9.309020160137649e-08	0.01762271173285013	0.0040050356059237215
Bcl6	5.700980559690651e-09	0.01762271173285013	0.0040050356059237215
Bcor	2.141223333085788e-07	0.01762271173285013	0.0040050356059237215
Bhlhe40	7.213444313923421e-08	0.01762271173285013	0.0040050356059237215
Bmi1	3.0719557882195466e-11	0.01762271173285013	0.0040050356059237215
Gata4	1.122429792200891e-08	0.01762271173285013	0.0040050356059237215
Gata3	1.1940282108314207e-07	0.01762271173285013	0.0040050356059237215
Gata2	3.406286425933549e-08	0.01762271173285013	0.0040050356059237215
Stat5a	1.8205328420533245e-08	0.01762271173285013	0.0040050356059237215
Sp1	1.4130528915382695e-07	0.01762271173285013	0.0040050356059237215
Mef2d	3.1129258764191735e-07	0.01762271173285013	0.0040050356059237215
Myod1	2.0695980663574395e-08	0.01762271173285013	0.0040050356059237215
Mef2a	2.6258512197509247e-08	0.01762271173285013	0.0040050356059237215
Elf1	5.4362903033240376e-06	0.01762271173285013	0.0040050356059237215
Stat4	3.7526063781641447e-06	0.01762271173285013	0.0040050356059237215
Elf4	2.6592951656537466e-06	0.01762271173285013	0.0040050356059237215
Elk3	1.2192330496080084e-05	0.01762271173285013	0.0040050356059237215
Ash1l	1.1775823809569184e-12	1.8132585402735407e-05	0.0040050356059237215
Ascl2	3.057404287680998e-08	0.01762271173285013	0.0040050356059237215
Ash2l	9.309020160137649e-08	0.01762271173285013	0.0040050356059237215
Ell2	4.630306556029362e-07	0.01762271173285013	0.0040050356059237215
Eomes	1.8205328420533245e-08	0.01762271173285013	0.0040050356059237215
Elf5	1.0610312399344658e-07	0.01762271173285013	0.0040050356059237215
Stat3	2.6252657343531957e-08	0.01762271173285013	0.0040050356059237215
Stat2	1.4051108807325401e-06	0.01762271173285013	0.0040050356059237215
Stat1	3.3259593956022795e-08	0.01762271173285013	0.0040050356059237215
Sumo1	9.031958396885591e-08	0.01762271173285013	0.0040050356059237215
Stat6	1.858382196308954e-06	0.01762271173285013	0.0040050356059237215
Stat5b	1.2133259113292425e-06	0.01762271173285013	0.0040050356059237215
Sp7	1.8205328420533245e-08	0.01762271173285013	0.0040050356059237215
Sp9	2.3723553082915795e-08	0.01762271173285013	0.0040050356059237215
Spen	2.652860335206318e-07	0.01762271173285013	0.0040050356059237215
Spi1	6.762537296176911e-09	0.01762271173285013	0.0040050356059237215
Spin1	1.0709919416436062e-05	0.01762271173285013	0.0040050356059237215
Srebf1	9.031958396885591e-08	0.01762271173285013	0.0040050356059237215
Srf	3.162703040429516e-08	0.01762271173285013	0.0040050356059237215
