TF	Variance explained	Nr of genes
Acaa2	0.48760404532479845	613
Acss2	0.4935455155337663	781
Actb	0.42273783028620526	32
Adnp	0.422879238147823	4361
Aebp2	0.471388028338235	10761
Aff3	0.4474856791193682	8605
Aff4	0.46167008626524675	2031
Ahcy	0.4146345323610986	178
Ahr	0.4014895774357217	1843
Aicda	0.3835261979215139	289
Aire	0.43134742616129595	11300
Anp32e	0.48704910138604185	2595
Ar	0.42309317463692997	9392
Arid1a	0.4252688709813	3293
Arid3a	0.4358491691707966	7138
Arid4b	0.476902827123946	3099
Arntl	0.43083107366029993	11060
Art1	0.6122892080576802	8
Ascl1	0.45194800843945654	14311
Ascl2	0.40694418488262435	1399
Ash1l	0.38301605540986206	23
Ash2l	0.4661232110380057	13409
Asxl1	0.44271420454813565	11475
Atf2	0.430797420567667	6835
Atf3	0.4217341754615227	11555
Atf4	0.4124258109608098	7038
Atf7	0.46318529991259694	722
Atf7ip	0.41139902922003924	549
Atm	0.4403194182699342	21
Atoh1	0.43479943382165287	2929
Atrx	0.45131460755227826	12248
Auts2	0.4948261055353561	1834
Bach1	0.44236629472235334	6249
Bach2	0.41647737874644236	9054
Bap1	0.4618009138610912	4004
Batf	0.42592465639842075	14465
Batf3	0.4060310226821977	5884
Baz1a	0.36706685652531446	132
Baz1b	0.41421185916459713	114
Baz2a	0.5272273274609284	25
Bbx	0.48357324214618874	340
Bcl11a	0.4545383539556812	13
Bcl11b	0.4346397531944624	14355
Bcl6	0.42873188702649556	13367
Bcor	0.4633838509954175	6755
Bhlhe40	0.4261520711023295	13780
Bhlhe41	0.4447658919706592	4027
Bmi1	0.5181101592897289	2608
Brca1	0.40702441824612745	306
Brd2	0.43670422011083526	12980
Brd3	0.4704050290889418	1119
Brd4	0.4407441194122544	17309
Brd9	0.44285487596179063	10003
Brf1	0.38644446373445807	100
Brf2	0.4278994506008717	38
Brwd1	0.4200732431570863	688
Btaf1	0.4438700552791315	16538
Carm1	0.4285028216292999	86
Cbfa2t2	0.4339251636856922	2509
Cbfa2t3	0.4527291974655918	10362
Cbfb	0.4303940156951852	14129
Cbx1	0.4387131942287413	4396
Cbx2	0.4584862428925096	3343
Cbx3	0.4606410129242075	11403
Cbx5	0.42376074193796354	589
Cbx7	0.48941902255580333	8117
Cbx8	0.448477614201724	4681
Ccnk	0.49877983693351025	1192
Ccnt1	0.4598519408382218	4190
Cdc73	0.42540879066882037	5298
Cdk8	0.4453682707945453	8321
Cdk9	0.44083873475588264	8687
Cdx2	0.4219853060110393	4350
Cebpa	0.43205301721971856	17721
Cebpb	0.4327124902702758	17303
Cebpd	0.405994636958141	7160
Cebpe	0.4105895430558814	7927
Cebpg	0.41360268443321924	591
Chaf1b	0.47345864496950807	3720
Chd1	0.42124711788487473	6084
Chd2	0.43375477882175945	9818
Chd4	0.4401025721833541	17481
Chd7	0.46084282268563137	2568
Chd8	0.4535138367437256	8985
Clock	0.42868597018178234	11271
Creb1	0.4355990066789526	15881
Creb3l2	0.47551126076340855	4025
Crebbp	0.4476080917889973	15724
Crtc2	0.4299535346797556	5068
Crx	0.46660054636399506	2681
Cry1	0.3898033348362125	132
Ctcf	0.4364184905554942	18451
Ctcfl	0.43683602856981296	7351
Ctnnb1	0.4174620572909102	5476
Ctr9	0.44477877372175717	3624
Cux2	0.4274371417753502	227
Cxxc1	0.47308572279234135	12084
Cxxc5	0.48307055168040686	1334
Daxx	0.4346726748044845	345
Ddit3	0.3875052733524569	427
Ddx21	0.45720107433598123	12972
Ddx5	0.4635240475895717	58
Dgcr8	0.4324063573756474	1544
Dicer1	0.429699955350736	980
Dlx1	0.41683934659177213	40
Dlx3	0.46852508805770504	2641
Dmap1	0.4606065059785537	7539
Dmc1	0.44079001980891336	15536
Dmrt1	0.4372572688567043	5377
Dmrtb1	0.4438096322487683	938
Dnajc2	0.3694680537636892	68
Dnmt3a	0.4046347864641757	314
Dnmt3b	0.42460701009063884	241
Dpf2	0.4351266695940838	3004
Dppa2	0.4448618765187696	16181
Dppa4	0.4561261576585276	14613
Dpy30	0.4664665137836771	8646
Dr1	0.4408771583747364	17239
Drosha	0.401243145821182	113
Duxbl1	0.4296689992098323	8211
E2f1	0.4558286643722049	6249
E2f3	0.45041804600297175	8853
E2f4	0.43950380549996776	10027
E4f1	0.43963894065996745	289
Ebf1	0.4273888063074634	9397
Ebf2	0.4446834392752426	16103
Ebf4	0.48257151522144626	4199
Eed	0.5776562872812301	2988
Egr1	0.40944883337959653	3659
Egr2	0.44525053521105096	10979
Ehf	0.4414710886166401	2053
Ehmt2	0.45627132237827295	246
