TF	Variance explained	Nr of genes
Acaa2	0.5259973987687606	500
Acss2	0.5329557671130868	569
Adnp	0.43671481749197005	618
Aebp2	0.4829475552527431	9281
Aff3	0.47996084969892894	5697
Aff4	0.4920409889156602	1622
Ahcy	0.5144286493048158	36
Ahr	0.41632393948087265	889
Aicda	0.4368753569640135	121
Aire	0.4562014691202527	8307
Anp32e	0.5141269288857799	2133
Ar	0.4275868564833783	3395
Arid1a	0.45417118770634085	1056
Arid3a	0.48558701162771123	4078
Arid4b	0.49480109858796195	2700
Arntl	0.4465301324351206	8375
Art1	0.5700628792337109	2
Ascl1	0.4679288845988407	10991
Ascl2	0.41857800366047687	528
Ash1l	0.6565059901005121	5
Ash2l	0.48365201707467725	11785
Asxl1	0.4619394194403649	9853
Atf2	0.4682995053363509	3820
Atf3	0.4426793633359223	7150
Atf4	0.42057969763206016	2629
Atf7	0.5152886069704633	439
Atf7ip	0.44684579454702616	184
Atm	1.0	1
Atoh1	0.46113041603433147	2023
Atrx	0.48333315913989744	8518
Auts2	0.5256249429749739	1407
Bach1	0.4818766970031664	4565
Bach2	0.4475068144276157	5157
Bap1	0.5071281587441293	2726
Batf	0.4483246411603265	9288
Batf3	0.429668774127286	2520
Baz1a	0.5243183435971547	9
Baz1b	0.6090551937793554	9
Baz2a	0.670788248831433	2
Bbx	0.5532836213321499	226
Bcl11a	1.0	1
Bcl11b	0.4510233667825992	11946
Bcl6	0.41602535690080983	2824
Bcor	0.47624819815428415	5771
Bhlhe40	0.4430200984846608	9750
Bhlhe41	0.4760740950597985	3068
Bmi1	0.551223341632087	1226
Brca1	0.49747110383795706	22
Brd2	0.4586111144040049	10209
Brd3	0.5463953518338326	573
Brd4	0.4553244345271596	15045
Brd9	0.4761685008765795	7621
Brf1	0.4938820281731295	28
Brf2	0.9101261428194615	2
Brwd1	0.41768086458129755	99
Btaf1	0.4706183542702799	12264
Carm1	0.46214224595087866	15
Cbfa2t2	0.4442208609698027	953
Cbfa2t3	0.46808330209376026	9243
Cbfb	0.4503655375378944	11225
Cbx1	0.4699453857284609	2064
Cbx2	0.46496072723619514	2597
Cbx3	0.484543927837673	9214
Cbx5	0.4687774239776737	66
Cbx7	0.5047204075924743	6665
Cbx8	0.4828865698489215	3288
Ccnk	0.5155837910264113	1002
Ccnt1	0.506782255260385	3169
Cdc73	0.445623917831285	2019
Cdk8	0.47828296062643755	6075
Cdk9	0.4713920380290816	6560
Cdx2	0.4279064885129753	743
Cebpa	0.4335024790627794	13165
Cebpb	0.4361366718097073	13369
Cebpd	0.4034747082298499	2913
Cebpe	0.4338687273191053	4630
Cebpg	0.394643768894388	211
Chaf1b	0.504033657788375	3071
Chd1	0.4534805969054624	4026
Chd2	0.46552447310880535	7257
Chd4	0.4535892749446287	15309
Chd7	0.5218853459993764	1654
