TF	C(organ)	C(dev_stage)	C(organ):C(dev_stage)
Acaa2	0.05702595459911956	0.7219657923510235	0.19554629317924702
Acss2	0.0014932394351916663	0.5892295178691079	0.17571606109977447
Adnp	5.515265775507091e-05	0.5788399897614371	0.23916419363363642
Aebp2	1.9889533668753817e-05	0.5804145642925822	0.181248558590541
Aff3	0.00194380419587355	0.6672781510431476	0.2336872853866767
Aff4	0.028855447306645816	0.6845811711502741	0.19885564735344352
Ahcy	0.010771959645226249	0.5438398371959914	0.1767509206031853
Ahr	0.000150246881975574	0.6668884273145366	0.248844775325471
Aicda	0.0016429875005917827	0.460001497865665	0.44463876033442346
Aire	0.002364114641745279	0.6535333231343536	0.21962745758633762
Anp32e	0.029154060708709958	0.6970610630216616	0.23766280651896973
Ar	0.0003976733802815204	0.6434355340534752	0.15095371752899808
Arid1a	2.817567462371146e-05	0.5723473156305308	0.17801660586148255
Arid3a	0.005030168730529058	0.681466716435448	0.26656008242955287
Arid4b	0.021109566133044128	0.6640528664061194	0.1973022785876225
Arntl	0.0001704126597879135	0.6349384932887414	0.19985463202138054
Art1	0.14567045586906116	0.5125693560378444	0.48500733587301004
Ascl1	1.0762501506546316e-05	0.5708324495105942	0.18392036048358762
Ascl2	0.00012906932595595731	0.5928419902550683	0.17316168617081934
Ash1l	9.706961702825389e-09	8.384061315288529e-08	0.0020625120584307232
Ash2l	2.29537658004904e-05	0.5885559765037958	0.2044284735837767
Asxl1	0.001626578998145906	0.6327323673966602	0.20846981107430235
Atf2	0.005591375053407945	0.6845946453346117	0.24864330850925917
Atf3	0.0024529188709014444	0.6357378036274823	0.19673911628089594
Atf4	0.00016663355262536356	0.657582859733867	0.18134542959674235
Atf7	0.015928369695741018	0.6803919622559718	0.22815025620211768
Atf7ip	0.0030922290642437416	0.6301727015536182	0.15662314265863395
Atm	4.5716266905680236e-05	0.05021170535370592	0.1604391219607126
Atoh1	0.00039089721071780407	0.5909933531596522	0.21945050747702846
Atrx	0.0001978463407636955	0.6111672759732445	0.20313671690836255
Auts2	0.005166845552067213	0.6871971002857142	0.26497555539955153
Bach1	0.024542053740013406	0.6925925109483058	0.23217759299117607
Bach2	0.005121714069019097	0.6519351977929797	0.2130242848435272
Bap1	0.008781387666022595	0.6918101881914612	0.2302122228649076
Batf	0.0013852959806660283	0.6491021508368323	0.21069010589449638
Batf3	0.004960265536436322	0.6487018339630439	0.14907012142850856
Baz1a	1.0149716463274661e-05	0.5899750924560843	0.08114097608523452
Baz1b	9.800876529102296e-06	0.5268013355362805	0.15720518412385756
Baz2a	3.9925854226766645e-06	0.04596951594683455	0.013000494694619752
Bbx	0.017128111653009755	0.7098255561221425	0.32994516731065465
Bcl11a	0.08356162671241418	0.028000118582261327	0.029471045330644537
Bcl11b	7.156515605435627e-05	0.6111490782482341	0.19967388668489156
Bcl6	6.0438596923566156e-09	0.684729909138377	0.13957873261191597
Bcor	2.4226325258938084e-05	0.5435448958488928	0.1624914831613716
Bhlhe40	0.00041514373920110346	0.6368646944788066	0.20747643613408728
Bhlhe41	0.0048394271390983234	0.6516405194010175	0.20686166748405174
Bmi1	9.803582527139272e-12	0.4055558973791964	0.12769084134867242
Brca1	4.899477632390828e-10	0.13540553615627832	0.16949221815715865
Brd2	0.0007644810829671478	0.6344816375208027	0.21102556641928802
Brd3	0.03515770996807109	0.718205128195835	0.27305168004754676
Brd4	3.254533480923338e-07	0.5834190303429113	0.16928440855011292
Brd9	0.002369010932056964	0.6604762150105812	0.23027782593709048
Brf1	5.848638304829847e-06	0.6045777888014017	0.2208653326538262
Brf2	8.038006446108026e-15	0.02032880613069791	4.104022481692024e-06
Brwd1	4.1626592398523195e-15	0.0009256279074362832	0.09912852079877496
Btaf1	2.949998508788179e-06	0.5548481283890966	0.18702666514578525
Carm1	4.9740198366485816e-08	0.12890520642642242	0.5147747055544444
Cbfa2t2	1.8112502755003372e-05	0.5967829054129206	0.2899731834301353
Cbfa2t3	0.001918804776013098	0.6429072461253806	0.2202488289274184
Cbfb	0.00026055003519265024	0.626437544164832	0.20291783605865713
Cbx1	0.0002977675116125363	0.6141208066526387	0.17351533007635989
Cbx2	9.537165239657321e-08	0.519316143337456	0.16716147166418632
Cbx3	0.0003701586808146044	0.619055632407643	0.21145769496168976
Cbx5	2.5064435886079795e-06	0.43132694799634813	0.07412618247879395
Cbx7	1.3296055140061406e-08	0.42921287093432653	0.14232853720352207
Cbx8	0.005611952428121783	0.6899212358781752	0.21920520482709152
Ccnk	0.002990097404841852	0.6380118088100357	0.19964531299939875
Ccnt1	0.032011146623307125	0.6978251963089527	0.24718557111144535
Cdc73	0.00023692204335688599	0.5934725958387226	0.24527488444889986
Cdk8	0.001947233800767189	0.6609319610970973	0.2154396543557076
Cdk9	0.005740985014979231	0.6668192088976048	0.22029492794508854
Cdx2	3.951549747617256e-05	0.6504455336428893	0.22241802360634283
Cebpa	5.340198781080287e-06	0.622987703717528	0.17722111277695965
Cebpb	5.939257587635435e-06	0.6192591196676093	0.1786549965565243
Cebpd	7.131940854288874e-05	0.6494997276769677	0.18697064414694614
Cebpe	0.004684318020502079	0.6753592933743833	0.20439966410758387
Cebpg	0.0060217362830535465	0.6516407193312652	0.11537578425965013
Chaf1b	0.019177893602389216	0.6823006218805658	0.22874378773828644
Chd1	0.01280956123091966	0.6925160234783683	0.22360765531657106
Chd2	0.003361960913491866	0.67228685137331	0.22490691583521877
Chd4	5.667349328089742e-07	0.5650497122906558	0.1823573077817344
Chd7	0.02006521791197628	0.6992251759492527	0.2896098579831095
Chd8	0.0066494364327654935	0.6812361535384976	0.24259932606268278
Clock	0.0007368215682328508	0.6543984474616233	0.23287672376427196
Creb1	7.376914772760836e-06	0.6049130517464707	0.18492086736950022
Creb3l2	0.02906371816535172	0.6980238104154334	0.26973319276262375
Crebbp	2.7384029358760147e-06	0.5863489386697336	0.17780139250867724
Crtc2	0.006421487415437518	0.6378231923329842	0.20694573383724638
Crx	0.0013174319588525063	0.6811144258338531	0.1922546989024809
Cry1	3.821585432554532e-05	0.3762964027517105	0.11813470431350402
Ctcf	2.824193320660025e-07	0.5727474429696585	0.16918334814587052
Ctcfl	0.00021322674748474715	0.6011584091878248	0.22218569362277604
Ctnnb1	0.006186566692476008	0.6655722328261355	0.21813303538976178
Ctr9	0.009244188827994377	0.6741253562640154	0.25059364204361334
Cux2	1.0646645700703568e-07	0.6847990921967667	0.16248302782473004
Cxxc1	8.590692016617442e-05	0.5992623667295672	0.2022258388192245
