TF	C(organ)	C(dev_stage)	C(organ):C(dev_stage)
Acaa2	5.3137377734831515e-05	0.14785925524193017	0.26234575268209914
Acss2	0.6222265021174243	0.6964235109004291	0.015641974991763695
Actb	0.0007563582487147764	0.21331728449333684	0.02323076979473969
Adnp	1.30987297943077e-05	0.5566092218984366	0.27873769057498454
Aebp2	0.0071132664135777676	0.6994329038923848	0.25925297826731497
Aff3	0.00018443607005547881	0.6529452980099493	0.2991167399340134
Aff4	0.010686096925396297	0.17517426162940591	0.028528092757340532
Ahcy	0.00045895184179674036	0.5463932411823136	0.04085365277517861
Ahr	4.4520271978081753e-07	0.378033695324316	0.03423533674566234
Aicda	3.8539221923615184e-05	0.4414102932943843	0.029002748577889002
Aire	0.004616040814684021	0.6874778381083808	0.20260260098541352
Anp32e	0.00012620507256971657	0.32774422549273025	0.16423637459740012
Ar	6.096426601533375e-08	0.5656560470491242	0.09815974042491715
Arid1a	7.129443308301338e-05	0.5123318797308498	0.09909097632311681
Arid3a	2.1551366858016686e-05	0.6614638912484545	0.42497525428266925
Arid4b	0.00728822643334155	0.6472097234741749	0.0935381473423901
Arntl	1.3616227970906158e-06	0.6531696769359199	0.17738839365686682
Ascl1	3.3278940910214945e-08	0.4501364598244195	0.19360002027858397
Ascl2	3.598691598740569e-09	0.5385006772206806	0.08324697563348497
Ash1l	0.00012620507256971657	0.32774422549273025	0.16423637459740012
Ash2l	0.007461215003134476	0.6903820133013646	0.21541068861457457
Asxl1	0.034748771798495046	0.6995365525559527	0.19669604713368938
Atf2	0.0002159184289572454	0.5937958273846591	0.28316613980063515
Atf3	5.089043769162998e-08	0.4721275070651063	0.18768650514391377
Atf4	6.877640157822276e-06	0.6028049964181965	0.12960588053722483
Atf7	0.0009198300173017972	0.3905658475545944	0.4144780017973905
Atf7ip	0.020673105845933355	0.44943405629858896	0.13115100386624048
Atm	0.000764311095662432	0.437708188121985	0.06292021879343253
Atoh1	3.3702356918451584e-06	0.4741071769741966	0.16746768814391183
